action,table,table_id,field,current_production_state,required_production_state,airtable_type,options_or_precision,direction,labos_reads,labos_writes,why_labos_needs_it,field_id_testing,field_id_production,automation_impact
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Forced Entry Result,absent,singleSelect (Pending | Passed | Failed | Inconclusive),singleSelect,Pending | Passed | Failed | Inconclusive,OUT,no,yes,"REOPENED by the product owner 2026-09-10: question 2 came back NO - 'they are different under different standards'. The Forced Entry verdict, projected from test_results.test_result and gated to Test Type = Forced Entry; omitted entirely on the other four types, never sent blank. Same four options and the same Passed/Failed wire spelling as Test Result, because this is the same value by type and not a second vocabulary - and the same terminal+verdict lifecycle, so it carries Pending at terminal. Test Result is UNCHANGED and still carries the verdict for all five types. APPLIED to the Testing Base 2026-09-11 fldAHuPzZHZEj0Cjt. Not in production, and guarded against reaching it by preflight check 2.",fldAHuPzZHZEj0Cjt,,New reporting axis. A view or report about Forced Entry alone no longer has to filter Test Result by Test Type first. Blank on the other four types.
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Impact Classification,absent,singleSelect (SMI | LMI Level D | LMI Level E),singleSelect,SMI | LMI Level D | LMI Level E,OUT,no,yes,"DERIVED OUTPUT ONLY - no column holds this string and no API field sets it. SMI | LMI Level D | LMI Level E. For an Airtable-bound test the SMI/LMI half is frozen at import from the section's IMPACT_SMI/IMPACT_LMI requirement code and only the level is the operator's, so a classification contradicting the requirement is unrepresentable rather than refused. Populated for Test Type = Impact, omitted on the other four. APPLIED to the Testing Base 2026-09-11 fldMY7DiiuP9kbQbL. Not in production, and guarded against reaching it by preflight check 2.",fldMY7DiiuP9kbQbL,,New reporting axis for Impact. Populated by LabOS on the results row; blank on the other four types.
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Impact Number,absent,number (precision 0),number,precision 0,OUT,no,yes,"READ AS THE IMPACT ORDINAL. Populated only for Test Type = Impact, where one attempt is one impact (product owner 2026-09-08); blank on the other four types. Same column as Attempt Number by construction - for Impact the attempt ordinal IS the impact ordinal - and published as its own field so a consumer can count tests by LabOS Test ID and impacts by this, without knowing a per-type rule. Without it a five-impact test reads as five tests, plausibly. APPLIED 2026-09-08 fldk52wf0SO9zYDjB",fldk52wf0SO9zYDjB,,"CHANGES WHAT EXISTING ROLL-UPS SEE. One physical impact is now one row, so a five-impact test publishes five rows where it published one. Count tests by grouping on LabOS Test ID; count impacts with this field. A roll-up that counts rows to mean tests will over-count impact tests."
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Photos,absent,multipleAttachments,multipleAttachments,,OUT,no,yes,"Persisted immutable JPEG preview; artifact ID/full hash/deterministic filename. Single owner; reconcile uncertain remote uploads, park ambiguity instead of blind append.",fldsEfhtH9wXPAl1Y,,"Attachment field. An automation that fires on record update will see it populated separately from the result, because attachments are delivered on their own channel and may land after the verdict."
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Verdict At,absent,dateTime,dateTime,,OUT,no,yes,UTC first-review timestamp. Required with first review in scalars and detailed JSON; missing schema parks delivery.,fldqCkqAh7aTckxSR,,"Set once, at first review. Useful as the trigger for anything that should fire on a reviewed result rather than on a recorded one."
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Verdict By,absent,singleLineText,singleLineText,,OUT,no,yes,Declared reviewer identity. Required with first review in scalars and detailed JSON; missing schema parks delivery.,fldVedw9cOgne8UeX,,"Set once, at first review, alongside LabOS Verdict At."
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Target Impact Velocity,absent,number (precision 2),number,precision 2,OUT,no,yes,"The target the operator entered, ft/s, precision 2. A target is never an achieved value (A2): the per-impact achieved velocity stays on shots.velocity and travels only in the JSON. NOT derived from the classification - no authoritative derivation table exists in this repo or the contract. Populated for Test Type = Impact. APPLIED to the Testing Base 2026-09-11 fldhywP9YpsmoWWT1. Not in production, and guarded against reaching it by preflight check 2.",fldhywP9YpsmoWWT1,,Populated by LabOS for Impact only. **Precision 2 matters**: precision 0 truncates 50.25 ft/s to 50 and would pass a type check while doing it.
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing End Date,absent,dateTime,dateTime,,OUT,no,yes,UTC completion/abort time; absent while running; also Test Date.,fldTsjf78Y5fA85fz,,As Testing Start Date.
ADD,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing Start Date,absent,dateTime,dateTime,,OUT,no,yes,UTC physical execution start; corrections preserve original.,fldYU1BtWVuWv5DBV,,"UTC instant, ISO, 24-hour. Distinct from your existing Test Date, which is unchanged and stays local/client."
DO NOT PROMOTE / DEPRECATED,Protocol Sections,tblqpvuJlSdkeS9PS,Impact Velocity,absent,absent - do NOT create,number,precision 2,IGNORED,no,no,"WITHDRAWN from the LabOS contract - do NOT create this in production. It exists in the Testing base and LabOS does not read it. WITHDRAWN from the read contract 2026-09-10. fldJNfUVyqQEFOVWx, left in place in Testing, never in production. The target velocity is LabOS-owned and operator-entered, published outbound as Target Impact Velocity; nothing derives it from the classification. at_mirror_sections.impact_velocity is no longer populated and the column is kept for the same later cleanup.",fldJNfUVyqQEFOVWx,,No automation impact: LabOS neither reads nor writes this.
DO NOT PROMOTE / DEPRECATED,Protocol Sections,tblqpvuJlSdkeS9PS,Missile Type,absent,absent - do NOT create,singleLineText,,IGNORED,no,no,"WITHDRAWN from the LabOS contract - do NOT create this in production. It exists in the Testing base and LabOS does not read it. WITHDRAWN from the read contract 2026-09-10. Applied to the Testing Base 2026-09-08 fld5Bs0aQXXeVso2y and DELIBERATELY LEFT IN PLACE - not deleted, not retyped; removal is a later coordinated cleanup with the Airtable team. LabOS no longer reads it: absent from mirror.SECTION_FIELDS, absent from requirements.snapshot, and importer.bind no longer pre-fills missile_impact_tests.missile from it. Superseded by the LabOS-owned Impact Classification, published outbound. Never created in production and guarded by preflight.DEPRECATED_TESTING_ONLY.",fld5Bs0aQXXeVso2y,,No automation impact: LabOS neither reads nor writes this.
DO NOT PROMOTE / DEPRECATED,Protocol Sections,tblqpvuJlSdkeS9PS,Missile Weight,absent,absent - do NOT create,number,precision 2,IGNORED,no,no,"WITHDRAWN from the LabOS contract - do NOT create this in production. It exists in the Testing base and LabOS does not read it. WITHDRAWN from the read contract 2026-09-10. fldmhdhonyyLcx4Ex, left in place in Testing, never in production. Mass is a property of the classification, not a separate requirement. missile_impact_tests.missile_weight survives as a local history column and is not published.",fldmhdhonyyLcx4Ex,,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Excel File Link,url,url - unchanged,url,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldj1vr7RnBRUJWEX,fldj1vr7RnBRUJWEX,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,IFET Job Number,multipleRecordLinks,multipleRecordLinks - unchanged,multipleRecordLinks,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldfX6gGWvOLRDKWl,fldfX6gGWvOLRDKWl,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,IFET job number (from IFET Job Number),multipleLookupValues,multipleLookupValues - unchanged,multipleLookupValues,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldinuC7cfvh0VQDA,fldinuC7cfvh0VQDA,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Attempt ID,singleLineText,singleLineText - unchanged,singleLineText,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldngWweJSr09a7Kv,fldngWweJSr09a7Kv,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Report Link,url,url - unchanged,url,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fld8Hn9rHfJzJ2icU,fld8Hn9rHfJzJ2icU,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,LabOS Retest Required,checkbox,checkbox - unchanged,checkbox,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldhLLbcY0R6yquQd,fldhLLbcY0R6yquQd,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Latest LabOS Attempt Number,singleLineText,singleLineText - unchanged,singleLineText,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,flduSq3FOqFDRCHhw,flduSq3FOqFDRCHhw,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Mock-Up,multipleLookupValues,multipleLookupValues - unchanged,multipleLookupValues,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldPcxq0oUsXOO7oB,fldPcxq0oUsXOO7oB,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Notes,multilineText,multilineText - unchanged,multilineText,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldLANILDFNozGRrq,fldLANILDFNozGRrq,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Protocol Name (from Test Protocol),multipleLookupValues,multipleLookupValues - unchanged,multipleLookupValues,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldCrJvBmIWh4W7TR,fldCrJvBmIWh4W7TR,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Result,singleSelect (Passed | Failed | Pending | Not Applicable | Inconclusive),singleSelect (Passed | Failed | Pending | Not Applicable | Inconclusive) - unchanged,singleSelect,Passed | Failed | Pending | Not Applicable | Inconclusive,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fld9AO8n6OosZ80mW,fld9AO8n6OosZ80mW,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Section Name,singleLineText,singleLineText - unchanged,singleLineText,,IN,yes,no,"LabOS reads this to identify which job, specimen, protocol or section a result belongs to.",fldN0th87JyevlzgU,fldN0th87JyevlzgU,No automation impact: LabOS reads this and never writes it.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Status,singleSelect (Not Started | In Progress | Completed | Aborted),singleSelect (Not Started | In Progress | Completed | Aborted) - unchanged,singleSelect,Not Started | In Progress | Completed | Aborted,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldeprjn5dCWBhT0G,fldeprjn5dCWBhT0G,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Test Protocol,multipleRecordLinks,multipleRecordLinks - unchanged,multipleRecordLinks,,IN,yes,no,"LabOS reads this to identify which job, specimen, protocol or section a result belongs to.",fld3EtgBWkjqAXHGp,fld3EtgBWkjqAXHGp,No automation impact: LabOS reads this and never writes it.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Testing Date,date,date - unchanged,date,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldj3JimASOrUTrCu,fldj3JimASOrUTrCu,No automation impact: LabOS neither reads nor writes this.
KEEP,Protocol Sections,tblqpvuJlSdkeS9PS,Value,singleLineText,singleLineText - unchanged,singleLineText,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fld1YDj3d2UilU7m6,fld1YDj3d2UilU7m6,No automation impact: LabOS neither reads nor writes this.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Mockup ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldV0IzvUSnmlVKC3,fldV0IzvUSnmlVKC3,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Project ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldgIIL715TrhyvKE,fldgIIL715TrhyvKE,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Protocol ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldVPHPXqlPGnBUSB,fldVPHPXqlPGnBUSB,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Airtable Section ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fld0dex9BWVQzgRLS,fld0dex9BWVQzgRLS,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Attempt Number,number (precision 0),number (precision 0) - unchanged,number,precision 0,OUT,no,yes,LabOS writes this on the results row.,fldyQpMOaSdWzO7xR,fldyQpMOaSdWzO7xR,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Complete LabOS JSON Response,multilineText,multilineText - unchanged,multilineText,,OUT,no,yes,LabOS writes this on the results row.,fldeG1iA6TVWOSi0T,fldeG1iA6TVWOSi0T,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Correction Reason,multilineText,multilineText - unchanged,multilineText,,OUT,no,yes,LabOS writes this on the results row.,fldCh0DXyvROqZBaJ,fldrrmBxxwfIOrXEa,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Deflection Unit,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldvZMcxhm9R9Lzg7,fldvZMcxhm9R9Lzg7,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Deflection Value,number (precision 1),number (precision 1) - unchanged,number,precision 1,OUT,no,yes,LabOS writes this on the results row.,fldg21XOFDAKWvUZx,fldg21XOFDAKWvUZx,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Excel File Link,url,url - unchanged,url,,OUT,no,yes,LabOS writes this on the results row.,fldQAF1pExVQ9Xe6O,fldQAF1pExVQ9Xe6O,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Impact Result,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,flda24C2M2tWyXEdb,flda24C2M2tWyXEdb,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Attempt ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldDu6er95KG2pOrG,fldDu6er95KG2pOrG,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Created At,dateTime,dateTime - unchanged,dateTime,,OUT,no,yes,LabOS writes this on the results row.,fldJYqMAdKP7v0zCU,fldJYqMAdKP7v0zCU,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Report Link,url,url - unchanged,url,,OUT,no,yes,LabOS writes this on the results row.,fldfewhrzgMnmAmU3,fldfewhrzgMnmAmU3,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Test ID,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldQWGjD0gQ4WwPbh,fldQWGjD0gQ4WwPbh,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,LabOS Updated At,dateTime,dateTime - unchanged,dateTime,,OUT,no,yes,LabOS writes this on the results row.,fldmqwik5SKFHRVqd,fldmqwik5SKFHRVqd,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Max Pressure Achieved,number (precision 1),number (precision 1) - unchanged,number,precision 1,OUT,no,yes,LabOS writes this on the results row.,fldDZkfaE2T4bFZ8C,fldDZkfaE2T4bFZ8C,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Measured Value,number (precision 1),number (precision 1) - unchanged,number,precision 1,OUT,no,yes,LabOS writes this on the results row.,fld0kER3p3ogmmP2L,fld0kER3p3ogmmP2L,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Notes,multilineText,multilineText - unchanged,multilineText,,OUT,no,yes,LabOS writes this on the results row.,fldH5IvnQ0rL1xQRm,fldH5IvnQ0rL1xQRm,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Operator Name,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldNHIHKq4xPvYhzX,fldNHIHKq4xPvYhzX,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Photos,url,url - unchanged,url,,OUT,no,yes,LabOS writes this on the results row.,fld01SK9bnkTd9s29,fld01SK9bnkTd9s29,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Raw Modified Time,lastModifiedTime,lastModifiedTime - unchanged,lastModifiedTime,,READ_ONLY,yes,no,Owned by your automation; LabOS never writes it.,fldKxp708fktN57aH,fldKxp708fktN57aH,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Retest Required,checkbox,checkbox - unchanged,checkbox,,OUT,no,yes,LabOS writes this on the results row.,fldBDTojy4Qk3LssD,fldBDTojy4Qk3LssD,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Schema Version,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldB8gHb2a5guxm7g,fldB8gHb2a5guxm7g,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Date,dateTime,dateTime - unchanged,dateTime,,OUT,no,yes,LabOS writes this on the results row.,fld4hqC9SIQ9ll8mp,fld4hqC9SIQ9ll8mp,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Result,singleSelect (Pending | Passed | Failed | Not Applicable | Inconclusive),singleSelect (Pending | Passed | Failed | Not Applicable | Inconclusive) - unchanged,singleSelect,Pending | Passed | Failed | Not Applicable | Inconclusive,OUT,no,yes,LabOS writes this on the results row.,fldAYKt62KMn9q7E6,fldAYKt62KMn9q7E6,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Status,singleSelect (Not Started | In Progress | Completed | Abborted),singleSelect (Not Started | In Progress | Completed | Abborted) - unchanged,singleSelect,Not Started | In Progress | Completed | Abborted,OUT,no,yes,LabOS writes this on the results row.,fldQ7u9PGz7S8Ngdb,fldQ7u9PGz7S8Ngdb,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Test Type,singleSelect (Static Load | Cycles | Impact | Forced Entry | ANSI Z97.1),singleSelect (Static Load | Cycles | Impact | Forced Entry | ANSI Z97.1) - unchanged,singleSelect,Static Load | Cycles | Impact | Forced Entry | ANSI Z97.1,OUT,no,yes,LabOS writes this on the results row.,fldu6lraAAKIAXIRQ,fldu6lraAAKIAXIRQ,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Testing Continued,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fldCjb00kloRr9pGj,fldCjb00kloRr9pGj,No automation impact: LabOS reads this and never writes it.
KEEP,LabOS Raw Data Table,tblnc9SsbXU0C0FWh,Unit,singleLineText,singleLineText - unchanged,singleLineText,,OUT,no,yes,LabOS writes this on the results row.,fld05iOwDiDtXA7b5,fld05iOwDiDtXA7b5,No automation impact: LabOS reads this and never writes it.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Approve To Create Invoice,singleSelect (Not Approved | Approved),singleSelect (Not Approved | Approved) - unchanged,singleSelect,Not Approved | Approved,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldf8Yk3YsLdO9FZc,fldf8Yk3YsLdO9FZc,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Approved Proposal Amount,currency (precision 2),currency (precision 2) - unchanged,currency,precision 2,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldBXKfp45g990C6n,fldBXKfp45g990C6n,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Back Charges,multipleRecordLinks,multipleRecordLinks - unchanged,multipleRecordLinks,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldHVvyKTR1AZA36C,fldHVvyKTR1AZA36C,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Back Charges Billable Amount,rollup,rollup - unchanged,rollup,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldpiD7QoloFt3ziT,fldpiD7QoloFt3ziT,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Back Charges Status,multipleLookupValues,multipleLookupValues - unchanged,multipleLookupValues,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldfgNcT03v4TZrNE,fldfgNcT03v4TZrNE,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Balance Due,currency (precision 2),currency (precision 2) - unchanged,currency,precision 2,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fld1Chl7INLTGs6Cj,fld1Chl7INLTGs6Cj,No automation impact: LabOS neither reads nor writes this.
KEEP,IFET Projects,tblLYcRC7q6Srjfk3,Company,singleLineText,singleLineText - unchanged,singleLineText,,IGNORED,no,no,Not used by LabOS. Listed so the sheet is complete and so nobody has to guess whether an omission was deliberate.,fldHv1MxlLTBsYIE1,fldHv1MxlLTBsYIE1,No automation impact: LabOS neither reads nor writes this.
