table_id,table_name,field_position,field_id,field_name,field_type,description,choices,linked_table_id,options_json
tblLYcRC7q6Srjfk3,IFET Projects,10,fld5T069KEywPp5F4,Customer Name,singleLineText,Customer/contact name associated with the project and used for invoicing.,,,
tblLYcRC7q6Srjfk3,IFET Projects,11,fldHv1MxlLTBsYIE1,Company,singleLineText,Customer company associated with the project.,,,
tblLYcRC7q6Srjfk3,IFET Projects,12,fldJKbExQdoLlV13V,Contact email,email,Primary customer email address used for project communication and invoicing.,,,
tblLYcRC7q6Srjfk3,IFET Projects,13,fldYipGKCSMD6jiCR,Service line,singleLineText,,,,
tblLYcRC7q6Srjfk3,IFET Projects,14,fldSxZvcL0q2dsUZs,Proposal/Signed Approval Link,url,Link to the approved or signed proposal document associated with the HubSpot deal.,,,
tblLYcRC7q6Srjfk3,IFET Projects,15,fldowoytqlZdhuChX,Project Priority,singleLineText,"Indicates the priority level of the project from HubSpot, such as low, medium, or high.",,,
tblLYcRC7q6Srjfk3,IFET Projects,16,fldBnWcEQKLAJGxdC,Target Testing Date,multipleLookupValues,Planned or expected date when testing for the project should begin.,,,"{""fieldIdInLinkedTable"": ""fldH3ACJSgq3k3YCE"", ""isValid"": true, ""recordLinkFieldId"": ""fldaYynjl8ptNVzXS"", ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}}, ""type"": ""date""}}"
tblLYcRC7q6Srjfk3,IFET Projects,17,flduHyuVRhtMfJTTM,Target Completion Date,multipleLookupValues,Planned date by which the project and testing activities are expected to be completed.,,,"{""fieldIdInLinkedTable"": ""fldbXwmiUyA8PUAgG"", ""isValid"": true, ""recordLinkFieldId"": ""fldaYynjl8ptNVzXS"", ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}}, ""type"": ""date""}}"
tblLYcRC7q6Srjfk3,IFET Projects,18,fldba1J8C6ev5wmU8,Project Lead,singleLineText,IFET team member responsible for managing or leading the project.,,,
tblLYcRC7q6Srjfk3,IFET Projects,19,fldBXKfp45g990C6n,Approved Proposal Amount,currency,Final approved proposal amount received from HubSpot before additional back charges.,,,"{""precision"": 2, ""symbol"": ""$""}"
tblLYcRC7q6Srjfk3,IFET Projects,20,fld1YUsbCOwYAl3b7,Remaining Amount,formula,"Remaining proposal balance to be invoiced after the initial payment/deposit, excluding additional back charges.",,,"{""formula"": ""{fldBXKfp45g990C6n}/2"", ""isValid"": true, ""referencedFieldIds"": [""fldBXKfp45g990C6n""], ""result"": {""options"": {""precision"": 0}, ""type"": ""number""}}"
tblLYcRC7q6Srjfk3,IFET Projects,21,fldpiD7QoloFt3ziT,Back Charges Billable Amount,rollup,Total billable value of the project's linked back charges after markup calculations.,,,"{""fieldIdInLinkedTable"": ""fldilEtoCaxRkonpE"", ""isValid"": true, ""recordLinkFieldId"": ""fldHVvyKTR1AZA36C"", ""referencedFieldIds"": [], ""result"": {""options"": {""precision"": 2, ""symbol"": ""$""}, ""type"": ""currency""}}"
tblLYcRC7q6Srjfk3,IFET Projects,22,fld1Chl7INLTGs6Cj,Balance Due,currency,Balance will be calculated from QuickBooks Invoice,,,"{""precision"": 2, ""symbol"": ""$""}"
tblLYcRC7q6Srjfk3,IFET Projects,23,fldLCY5LrgaE48XZR,QuickBooks Invoice ID,singleLineText,QuickBooks generated Invoice ID will appear here.,,,
tblLYcRC7q6Srjfk3,IFET Projects,24,fldCY1r37TzUNlqxd,QuickBooks Invoice Number,singleLineText,QuickBooks generated Invoice Number will appear here.,,,
tblLYcRC7q6Srjfk3,IFET Projects,25,fldwxvUo1sfjbilui,QuickBooks Invoice Date,dateTime,QuickBooks generated date will appear here.,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""HH:mm"", ""name"": ""24hour""}, ""timeZone"": ""client""}"
tblLYcRC7q6Srjfk3,IFET Projects,26,fldR3PaaTo9BIjmSO,Product Type,singleLineText,Product or service item associated with the project and used when preparing invoice line items.,,,
tblLYcRC7q6Srjfk3,IFET Projects,27,fld2bJ2UQUoWrlQSu,Project Status Modified Time,lastModifiedTime,,,,"{""isValid"": true, ""referencedFieldIds"": [""fldYpIwi0DcgVAjSB""], ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}, ""timeFormat"": {""format"": ""h:mma"", ""name"": ""12hour""}, ""timeZone"": ""client""}, ""type"": ""dateTime""}}"
tblLYcRC7q6Srjfk3,IFET Projects,28,fldL4kUzCrbtJeU56,Tests Protocols,multipleRecordLinks,,,tblutO1Q8TNC4BLk0,"{""inverseLinkFieldId"": ""fldPJdoEbIJeHbOu8"", ""isReversed"": false, ""linkedTableId"": ""tblutO1Q8TNC4BLk0"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,29,fldrrcKHQYOuKVPXc,Protocol Sections,multipleRecordLinks,,,tblqpvuJlSdkeS9PS,"{""inverseLinkFieldId"": ""fldfX6gGWvOLRDKWl"", ""isReversed"": false, ""linkedTableId"": ""tblqpvuJlSdkeS9PS"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,30,fldaYynjl8ptNVzXS,Wall Scheduling/Reservation,multipleRecordLinks,,,tblYjF1AApzmRDMrY,"{""inverseLinkFieldId"": ""fldoNc8tXaa6KekoJ"", ""isReversed"": false, ""linkedTableId"": ""tblYjF1AApzmRDMrY"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,31,fldnV9a0Z5AKKHYaa,Mock-Ups/Specimens 2,multipleRecordLinks,,,tblcrGv0WJn6FTTGO,"{""inverseLinkFieldId"": ""fldyj3e89pH6QH2Pp"", ""isReversed"": false, ""linkedTableId"": ""tblcrGv0WJn6FTTGO"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,32,flde9nEuoGsWTHm0G,Mock-Ups/Specimens 3,multipleRecordLinks,,,tblcrGv0WJn6FTTGO,"{""inverseLinkFieldId"": ""fldmqg3pC6l8osgph"", ""isReversed"": false, ""linkedTableId"": ""tblcrGv0WJn6FTTGO"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,33,fldHVvyKTR1AZA36C,Back Charges,multipleRecordLinks,,,tbl0f2YxS3FHJ1dTD,"{""inverseLinkFieldId"": ""fldcTkX1jo4kOyU0P"", ""isReversed"": false, ""linkedTableId"": ""tbl0f2YxS3FHJ1dTD"", ""prefersSingleRecordLink"": false}"
tblLYcRC7q6Srjfk3,IFET Projects,34,fldY2C1Q0Yk4VDtUg,Read Project Info For LabOS,singleLineText,,,,
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,0,fldyprpxI76d6CIxo,Mock-up/specimen name,singleLineText,,,,
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,1,fldyj3e89pH6QH2Pp,IFET Job Number,multipleRecordLinks,,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""fldnV9a0Z5AKKHYaa"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,2,fldS9y6Bc5p5i088A,Service line,singleLineText,IFET service category associated with the specimen.,,,
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,3,fldw4wNgbNM4NP9dr,Height (Inches),number,Specimen height in inches as defined in the approved proposal.,,,"{""precision"": 2}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,4,fldvm1NAoIGLrFbd0,Width (Inches),number,Specimen width in inches as defined in the approved proposal.,,,"{""precision"": 1}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,5,fldKhsUYTaQPKGtJL,Specimen status,singleSelect,"Current lifecycle status of the specimen, from Pending through testing and completion.",Pending | Received | In Testing | On Hold | Completed | Failed,,"{""choices"": [{""color"": ""grayLight1"", ""id"": ""selRGzvxBXlR1xL3J"", ""name"": ""Pending""}, {""color"": ""cyanLight1"", ""id"": ""seliJRulb0lU8VFsM"", ""name"": ""Received""}, {""color"": ""yellowLight1"", ""id"": ""self2FfCIegPEyEoW"", ""name"": ""In Testing""}, {""color"": ""yellowLight2"", ""id"": ""selKBR52VCquov9Q7"", ""name"": ""On Hold""}, {""color"": ""greenLight1"", ""id"": ""selr256GvFKvOzH48"", ""name"": ""Completed""}, {""color"": ""orangeBright"", ""id"": ""selQz8Mht2FpC98Do"", ""name"": ""Failed""}]}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,6,fld4k1G1OqQER1VMI,Scheduled Test Date,multipleLookupValues,Scheduled testing date obtained from the specimen's reservation.,,,"{""fieldIdInLinkedTable"": ""fldH3ACJSgq3k3YCE"", ""isValid"": true, ""recordLinkFieldId"": ""fld0QsYC3mAFS3JQ6"", ""result"": {""options"": {""dateFormat"": {""format"": ""l"", ""name"": ""local""}}, ""type"": ""date""}}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,7,fld1mVERdRpQ3XZch,Tests Protocols,multipleRecordLinks,Test protocols required for this specimen.,,tblutO1Q8TNC4BLk0,"{""inverseLinkFieldId"": ""fldSzN0fPvbWyOgPu"", ""isReversed"": false, ""linkedTableId"": ""tblutO1Q8TNC4BLk0"", ""prefersSingleRecordLink"": false}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,8,fld0QsYC3mAFS3JQ6,Reservations,multipleRecordLinks,Wall reservation associated with this specimen.,,tblYjF1AApzmRDMrY,"{""inverseLinkFieldId"": ""fldNvwpbflPlembbT"", ""isReversed"": false, ""linkedTableId"": ""tblYjF1AApzmRDMrY"", ""prefersSingleRecordLink"": false}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,9,fldmqg3pC6l8osgph,Project Name,multipleRecordLinks,Links the specimen to its parent project.,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""flde9nEuoGsWTHm0G"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,10,fldXBEMsULBqNIkRZ,Project name (from IFET Projects),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldXOI9t0N8oP4FLy"", ""isValid"": true, ""recordLinkFieldId"": ""fldmqg3pC6l8osgph"", ""result"": {""type"": ""singleLineText""}}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,11,fldZqkvfxKwpJbwMl,IFET job number (from IFET Job Number) 2,multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldZa91p5KebdT6q2"", ""isValid"": true, ""recordLinkFieldId"": ""fldyj3e89pH6QH2Pp"", ""result"": {""type"": ""singleLineText""}}"
tblcrGv0WJn6FTTGO,Mock-Ups/Specimens,12,fldIirOarIpvHw92Y,IFET job number (from IFET Job Number),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldZa91p5KebdT6q2"", ""isValid"": true, ""recordLinkFieldId"": ""fldyj3e89pH6QH2Pp"", ""result"": {""type"": ""singleLineText""}}"
tblutO1Q8TNC4BLk0,Tests Protocols,0,fldvf05KHbDSMjLrw,Protocol Name,singleLineText,Testing standard or protocol that must be performed.,,,
tblutO1Q8TNC4BLk0,Tests Protocols,1,fldPJdoEbIJeHbOu8,IFET Job Number,multipleRecordLinks,Project associated with this test protocol.,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""fldL4kUzCrbtJeU56"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tblutO1Q8TNC4BLk0,Tests Protocols,2,fldSzN0fPvbWyOgPu,Mock-Up,multipleRecordLinks,Mock-up/specimen on which this protocol is performed.,,tblcrGv0WJn6FTTGO,"{""inverseLinkFieldId"": ""fld1mVERdRpQ3XZch"", ""isReversed"": false, ""linkedTableId"": ""tblcrGv0WJn6FTTGO"", ""prefersSingleRecordLink"": true}"
tblutO1Q8TNC4BLk0,Tests Protocols,3,fldp0RHXHpPY8IOhv,Protocol Status,singleSelect,Current execution status of the protocol.,Not Started | In Progress | Completed | Aborted,,"{""choices"": [{""color"": ""grayLight1"", ""id"": ""selGn78JSHzqbx3vY"", ""name"": ""Not Started""}, {""color"": ""yellowLight1"", ""id"": ""sel20AfvlRKZcZDFx"", ""name"": ""In Progress""}, {""color"": ""greenLight1"", ""id"": ""seli0yNDsDGBV2k7R"", ""name"": ""Completed""}, {""color"": ""orangeBright"", ""id"": ""sel0PI2QO489NawH5"", ""name"": ""Aborted""}]}"
tblutO1Q8TNC4BLk0,Tests Protocols,4,fld8rkYR4giE8bPAF,Protocol Result,singleSelect,"Overall result of the protocol, such as Passed, Failed, Pending, or Inconclusive.",Pending | Passed | Failed | Inconclusive,,"{""choices"": [{""color"": ""yellowLight1"", ""id"": ""selNuTAfuifeUot1Q"", ""name"": ""Pending""}, {""color"": ""greenLight1"", ""id"": ""seljNXp2WSOfQWhF1"", ""name"": ""Passed""}, {""color"": ""orangeBright"", ""id"": ""selEOSiFhS0W5n1wv"", ""name"": ""Failed""}, {""color"": ""tealLight1"", ""id"": ""selVuk9E1cv4ESWNw"", ""name"": ""Inconclusive""}]}"
tblutO1Q8TNC4BLk0,Tests Protocols,5,fldw0brNFYcSxEs1l,Protocol Sections,multipleRecordLinks,Individual test sections that make up this protocol.,,tblqpvuJlSdkeS9PS,"{""inverseLinkFieldId"": ""fld3EtgBWkjqAXHGp"", ""isReversed"": false, ""linkedTableId"": ""tblqpvuJlSdkeS9PS"", ""prefersSingleRecordLink"": false}"
tblutO1Q8TNC4BLk0,Tests Protocols,6,fldrc9ywdmheoiCqK,IFET job number (from IFET Job Number),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldZa91p5KebdT6q2"", ""isValid"": true, ""recordLinkFieldId"": ""fldPJdoEbIJeHbOu8"", ""result"": {""type"": ""singleLineText""}}"
tblutO1Q8TNC4BLk0,Tests Protocols,7,fldAP0DzS2zmweb3j,Mock-up/specimen name (from Mock-Up),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldyprpxI76d6CIxo"", ""isValid"": true, ""recordLinkFieldId"": ""fldSzN0fPvbWyOgPu"", ""result"": {""type"": ""singleLineText""}}"
tblqpvuJlSdkeS9PS,Protocol Sections,0,fldN0th87JyevlzgU,Section Name,singleLineText,Individual testing requirement or section within the protocol.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,1,fld1YDj3d2UilU7m6,Value,singleLineText,Required test value extracted from the approved proposal.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,2,fldeprjn5dCWBhT0G,Status,singleSelect,Current execution status of this protocol section.,Not Started | In Progress | Completed | Aborted,,"{""choices"": [{""color"": ""blueLight2"", ""id"": ""selFb8QDg903BiDRR"", ""name"": ""Not Started""}, {""color"": ""yellowLight1"", ""id"": ""selGdFh5nuO47f37R"", ""name"": ""In Progress""}, {""color"": ""greenLight1"", ""id"": ""selwtfkq06bHMB6sy"", ""name"": ""Completed""}, {""color"": ""orangeBright"", ""id"": ""selvcGPeo7HXcelDk"", ""name"": ""Aborted""}]}"
tblqpvuJlSdkeS9PS,Protocol Sections,3,fld9AO8n6OosZ80mW,Result,singleSelect,Result of the individual protocol section.,Passed | Failed | Pending | Not Applicable | Inconclusive,,"{""choices"": [{""color"": ""greenLight1"", ""id"": ""selS43MhVIdi0Yy11"", ""name"": ""Passed""}, {""color"": ""orangeBright"", ""id"": ""selpRbNPyTQ3t2GY0"", ""name"": ""Failed""}, {""color"": ""yellowLight1"", ""id"": ""selEqVCvWxGUrrwU4"", ""name"": ""Pending""}, {""color"": ""orangeLight1"", ""id"": ""selWI0oUhsdQIxLPe"", ""name"": ""Not Applicable""}, {""color"": ""tealLight1"", ""id"": ""selFsAxitMIwyZNGz"", ""name"": ""Inconclusive""}]}"
tblqpvuJlSdkeS9PS,Protocol Sections,4,fldfX6gGWvOLRDKWl,IFET Job Number,multipleRecordLinks,,,tblLYcRC7q6Srjfk3,"{""inverseLinkFieldId"": ""fldrrcKHQYOuKVPXc"", ""isReversed"": false, ""linkedTableId"": ""tblLYcRC7q6Srjfk3"", ""prefersSingleRecordLink"": true}"
tblqpvuJlSdkeS9PS,Protocol Sections,5,fldinuC7cfvh0VQDA,IFET job number (from IFET Job Number),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldZa91p5KebdT6q2"", ""isValid"": true, ""recordLinkFieldId"": ""fldfX6gGWvOLRDKWl"", ""result"": {""type"": ""singleLineText""}}"
tblqpvuJlSdkeS9PS,Protocol Sections,6,fldPcxq0oUsXOO7oB,Mock-Up,multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldSzN0fPvbWyOgPu"", ""isValid"": true, ""recordLinkFieldId"": ""fld3EtgBWkjqAXHGp"", ""result"": {""options"": {""isReversed"": false, ""prefersSingleRecordLink"": false}, ""type"": ""multipleRecordLinks""}}"
tblqpvuJlSdkeS9PS,Protocol Sections,7,fld3EtgBWkjqAXHGp,Test Protocol,multipleRecordLinks,Parent testing protocol associated with this section.,,tblutO1Q8TNC4BLk0,"{""inverseLinkFieldId"": ""fldw0brNFYcSxEs1l"", ""isReversed"": false, ""linkedTableId"": ""tblutO1Q8TNC4BLk0"", ""prefersSingleRecordLink"": true}"
tblqpvuJlSdkeS9PS,Protocol Sections,8,fldCrJvBmIWh4W7TR,Protocol Name (from Test Protocol),multipleLookupValues,,,,"{""fieldIdInLinkedTable"": ""fldvf05KHbDSMjLrw"", ""isValid"": true, ""recordLinkFieldId"": ""fld3EtgBWkjqAXHGp"", ""result"": {""type"": ""singleLineText""}}"
tblqpvuJlSdkeS9PS,Protocol Sections,9,flduSq3FOqFDRCHhw,Latest LabOS Attempt Number,singleLineText,Latest test-attempt number received from LabOS for this section.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,10,fldngWweJSr09a7Kv,LabOS Attempt ID,singleLineText,Unique LabOS identifier for the latest testing attempt.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,11,fldhLLbcY0R6yquQd,LabOS Retest Required,checkbox,Indicates whether LabOS has determined that this section requires another test.,,,"{""color"": ""greenBright"", ""icon"": ""check""}"
tblqpvuJlSdkeS9PS,Protocol Sections,12,fldj1vr7RnBRUJWEX,Excel File Link,url,Link to the testing Excel file received from LabOS.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,13,fldLANILDFNozGRrq,Notes,multilineText,Testing notes or comments received from LabOS.,,,
tblqpvuJlSdkeS9PS,Protocol Sections,14,fldj3JimASOrUTrCu,Testing Date,date,Date on which this section was tested.,,,"{""dateFormat"": {""format"": ""l"", ""name"": ""local""}}"
tblqpvuJlSdkeS9PS,Protocol Sections,15,fld8Hn9rHfJzJ2icU,LabOS Report Link,url,Link to the LabOS testing/report document.,,,
tblVUvcSPAoneG26W,Walls & Positions,0,fld4pZcBC8Ig1T5zu,Wall Position Name,formula,Combined wall and position name used throughout reservations and scheduling.,,,"{""formula"": ""{fldNUjjfUnfQlsAqp} & \"" - \"" & {fldOaxd9jFxjU3w3i} &\r\nIF({fldwZeJJ7B9sQOtSH} = \""Future\"", \"" - Future \"", \""\"")"", ""isValid"": true, ""referencedFieldIds"": [""fldNUjjfUnfQlsAqp"", ""fldOaxd9jFxjU3w3i"", ""fldwZeJJ7B9sQOtSH""], ""result"": {""type"": ""singleLineText""}}"
tblVUvcSPAoneG26W,Walls & Positions,1,fldNUjjfUnfQlsAqp,Wall Name,singleLineText,Name or number of the physical testing wall.,,,
tblVUvcSPAoneG26W,Walls & Positions,2,fldOaxd9jFxjU3w3i,Position Name,singleLineText,Position or location available on the testing wall.,,,
