direction,airtable_table,airtable_field,airtable_type,labos_source,write_phase,rule,status,gate
OUT,LabOS Raw Data Table,Complete LabOS JSON Response,multilineText,result_detail + required_params,terminal+verdict,"Extensibility valve. Rewritten at BOTH phases. Carries per-stage results, shot detail, requirements snapshot with provenance, identity_assurance, verdict_by/at. Measurements frozen after terminal.",PROPOSED,
OUT,LabOS Raw Data Table,Photos,url,test_results.photo_links,terminal,Retained unchanged. First link only. LabOS keeps the originals.,AGREED,
OUT,LabOS Raw Data Table,LabOS Photos,multipleAttachments,uploads/ downscaled copy,attachment,"NEW FIELD. Direct byte upload, 5 MB cap. Deterministic filename {attempt_id}__{sha256[:12]}.jpg. Remote list-and-match BEFORE any retry - local state cannot resolve an ambiguous timeout.",PROPOSED,
OUT,LabOS Raw Data Table,Excel File Link,url,test_results.excel_file_link,terminal,,AGREED,
OUT,LabOS Raw Data Table,LabOS Report Link,url,test_results.report_link,terminal,Reachability is a separate open issue.,AGREED,
OUT,LabOS Raw Data Table,Raw Modified Time,lastModifiedTime,-,n/a,"Airtable-owned. Never written by LabOS. Field-scoped, not whole-record.",AGREED,
IN,IFET Projects,record_id,-,project_parents.airtable_project_id,n/a,UNIQUE across project_parents. The import key for a job.,AGREED,
IN,IFET Projects,IFET job number,singleLineText,project_parents.name,n/a,"Display only. Linkage is by record ID, never by job name.",AGREED,
IN,IFET Projects,Project name,singleLineText,mirror.project_name,n/a,Display only.,AGREED,
IN,IFET Projects,Project Status Modified Time,lastModifiedTime,-,n/a,Field-scoped to Project Status only. NOT usable as a delta-poll cursor.,AGREED,
IN,Mock-Ups/Specimens,record_id,-,projects.airtable_mockup_id,n/a,UNIQUE across projects. The import key for a specimen.,AGREED,
IN,Mock-Ups/Specimens,Project Name,multipleRecordLinks,projects.airtable_project_id,n/a,RELATIONSHIP specimen->project. Repeats by design - 6 specimens share 1 project.,AGREED,
IN,Mock-Ups/Specimens,Mock-up/specimen name,singleLineText,projects.airtable_mockup_name,n/a,Display only.,AGREED,
IN,Mock-Ups/Specimens,Specimen status,singleSelect,mirror.specimen_status,n/a,Airtable-owned operational status. Read-only to LabOS.,AGREED,
IN,Tests Protocols,record_id,-,mirror.protocol_record_id,n/a,UNIQUE across mirrored protocols.,AGREED,
IN,Tests Protocols,Mock-Up,multipleRecordLinks,mirror.mockup_record_id,n/a,RELATIONSHIP protocol->specimen. Repeats by design.,AGREED,
IN,Tests Protocols,Protocol Name,singleLineText,mirror.protocol_name,n/a,TAS-201 / TAS-202 / TAS-203 / ANSI Z97.1 observed live. Does NOT determine test type - the section does.,AGREED,
IN,Protocol Sections,record_id,-,test_programme_runs.airtable_section_id,n/a,Identifies a PROGRAMME with the project id. REPEATS across stage rows and across runs - it is NOT unique across LabOS test rows. See D7.,AGREED,
IN,Protocol Sections,Test Protocol,multipleRecordLinks,mirror.protocol_record_id,n/a,RELATIONSHIP section->protocol. Repeats by design.,AGREED,
IN,Protocol Sections,Section Name,singleLineText,mirror.section_name,n/a,"Attribute name in their EAV model. 9 observed live. Determines LabOS test type - or marks the row a parameter, not a test.",AGREED,
IN,Protocol Sections,Value,singleLineText,mirror.required_value_raw,n/a,Human-facing display string. Retained for reference. LabOS stops parsing it once the typed fields exist.,AGREED,
IN,Protocol Sections,Requirement Kind,singleSelect,mirror.requirement_kind,n/a,NEW FIELD. Magnitude / Directional Pair / Count / Enum / Not Applicable. Makes the row self-describing.,PROPOSED,
IN,Protocol Sections,Required Value,number,mirror.required_value,n/a,NEW FIELD. Magnitude and Count kinds. Blank is not zero.,PROPOSED,
IN,Protocol Sections,Required Value Inward,number,projects.inward_design_pressure,n/a,NEW FIELD. Positive magnitude PSF. Sign convention unconfirmed - do not infer from symmetric samples.,BLOCKED,G2 sign convention
IN,Protocol Sections,Required Value Outward,number,projects.outward_design_pressure,n/a,NEW FIELD. Positive magnitude PSF. Sign convention unconfirmed.,BLOCKED,G2 sign convention
IN,Protocol Sections,Required Unit,singleSelect,mirror.required_unit,n/a,NEW FIELD. PSF / in / s / cycles / impacts.,PROPOSED,
IN,Protocol Sections,Result,singleSelect,mirror.result,n/a,Airtable-owned. Read-only to LabOS. Semantics unconfirmed - see Q8.,AGREED,
IN,Protocol Sections,Status,singleSelect,mirror.status,n/a,Airtable-owned. Read-only to LabOS.,AGREED,
IN,Protocol Sections,Testing Date,date,-,n/a,"date has no instant. Render America/New_York BEFORE writing, not UTC.",AGREED,
OUT,LabOS Raw Data Table,(delivery metadata),-,sync_outbox.attempt_seq,every,"Not a wire field. Per-attempt FIFO ordering key - phases deliver in seq order, head-of-line blocking per attempt only. See 5.2.2.",AGREED,
